Japan,  Population size (5-year)     Last modified: 15-Dec-2010, MPv5 (May07)

Year       Age      Female         Male        Total
1963      90-94      22119.60      8059.79     30179.39
1963      95-99       2494.90       660.93      3155.83
1963     100-104       105.98        28.00       133.98
1963     105-109         9.00         0.00         9.00
1963     110+            1.00         0.00         1.00
1964       0        793861.35    833521.76   1627383.11
1964       1-4     3053315.88   3189622.79   6242938.67
1964       5-9     3911916.87   4068437.78   7980354.65
1964      10-14    5021708.65   5190578.20  10212286.85
1964      15-19    4846921.23   4927631.04   9774552.27
1964      20-24    4507746.49   4458186.73   8965933.22
1964      25-29    4184037.24   4147460.23   8331497.47
1964      30-34    3990553.89   4018159.22   8008713.11
1964      35-39    3595924.33   3476538.63   7072462.96
1964      40-44    3036227.85   2419129.59   5455357.44
1964      45-49    2597629.41   2201945.51   4799574.92
1964      50-54    2396370.17   2132327.97   4528698.14
1964      55-59    1925089.86   1833900.82   3758990.68
1964      60-64    1661580.06   1582602.78   3244182.84
1964      65-69    1271378.14   1153807.80   2425185.94
1964      70-74     918024.09    748050.88   1666074.97
1964      75-79     602264.63    414512.47   1016777.10
1964      80-84     334426.55    180834.69    515261.24
1964      85-89     124626.76     54567.54    179194.30
1964      90-94      24830.96      9013.19     33844.15
1964      95-99       2914.78       796.94      3711.72
1964     100-104       114.98        24.99       139.97
1964     105-109         7.00         0.00         7.00
1964     110+            1.00         0.00         1.00
1965       0        820731.92    861817.37   1682549.29
1965       1-4     3073242.20   3205938.80   6279181.00
1965       5-9     3866099.23   4012620.28   7878719.51
1965      10-14    4673771.95   4833855.60   9507627.55
1965      15-19    5106229.42   5200101.80  10306331.22
1965      20-24    4620580.39   4556711.79   9177292.18
1965      25-29    4158093.52   4116189.88   8274283.40
1965      30-34    4043045.92   4075509.08   8118555.00
1965      35-39    3684440.35   3636657.08   7321097.43
1965      40-44    3161882.94   2585230.17   5747113.11
1965      45-49    2607674.11   2175796.43   4783470.54
1965      50-54    2445330.69   2150886.07   4596216.76
1965      55-59    2008283.39   1883089.08   3891372.47
1965      60-64    1694884.69   1606811.98   3301696.67
1965      65-69    1306246.39   1186378.92   2492625.31
1965      70-74     934144.46    767765.92   1701910.38
1965      75-79     627458.40    438173.46   1065631.86
1965      80-84     340056.74    185459.95    525516.69
1965      85-89     130671.09     57445.58    188116.67
1965      90-94      27375.88      9794.91     37170.79
1965      95-99       3037.53       838.80      3876.33
1965     100-104       134.97        32.99       167.96
1965     105-109         7.00         0.00         7.00
1965     110+            1.00         0.00         1.00
1966       0        850621.25    888034.35   1738655.60
1966       1-4     3129253.20   3259154.58   6388407.78
1966       5-9     3817303.90   3957148.61   7774452.51
1966      10-14    4422341.68   4572923.44   8995265.12
1966      15-19    5406822.67   5510296.57  10917119.24
1966      20-24    4489542.41   4419203.41   8908745.82
1966      25-29    4202249.90   4149710.20   8351960.10
1966      30-34    4106592.09   4140066.36   8246658.45
1966      35-39    3749571.98   3750736.52   7500308.50
1966      40-44    3246150.03   2765559.05   6011709.08
1966      45-49    2698988.29   2205044.79   4904033.08
1966      50-54    2484085.77   2159250.93   4643336.70
1966      55-59    2090436.46   1931792.99   4022229.45
1966      60-64    1712833.62   1613707.31   3326540.93
1966      65-69    1354129.68   1226275.54   2580405.22
1966      70-74     964954.69    795929.29   1760883.98
1966      75-79     646511.80    454189.46   1100701.26
1966      80-84     342781.38    188136.45    530917.83
1966      85-89     134158.91     58251.75    192410.66
1966      90-94      28889.71     10377.26     39266.97
1966      95-99       3076.01       877.67      3953.68
1966     100-104       162.95        37.98       200.93
1966     105-109         4.00         0.00         4.00
